RANK	TEAM	GM	OPPPTS	OPPPPG
1	Wisconsin	33	1745	52.9
2	Virginia	31	1664	53.7
3	Stephen F. Austin	32	1741	54.4
4	Harvard	30	1645	54.8
5	Drexel	33	1829	55.4
6	Wyoming	31	1719	55.5
7	South Fla.	33	1877	56.9
8	Saint Louis	32	1841	57.5
9	Alabama	32	1860	58.1
10	Eastern Mich.	32	1878	58.7
11	Savannah St.	32	1884	58.9
12	Stony Brook	31	1829	59.0
-	Kentucky	34	2006	59.0
14	Ohio St.	34	2008	59.1
15	New Mexico	33	1949	59.1
16	Michigan St.	34	2010	59.1
17	Georgetown	31	1834	59.2
18	Georgia St.	32	1896	59.3
19	Western Ill.	32	1905	59.5
20	Cleveland St.	32	1907	59.6
21	Southern California	32	1910	59.7
22	VCU	34	2032	59.8
23	SMU	32	1922	60.1
24	Syracuse	33	1993	60.4
25	Vermont	34	2057	60.5
26	Denver	31	1876	60.5
27	Cal Poly	33	1998	60.5
28	Clemson	31	1880	60.6
29	Sam Houston St.	32	1941	60.7
30	Ball St.	30	1822	60.7
31	Butler	34	2066	60.8
32	Princeton	30	1831	61.0
33	Bucknell	33	2018	61.2
-	Morehead St.	33	2018	61.2
35	Louisville	35	2141	61.2
36	Cincinnati	34	2080	61.2
37	Murray St.	31	1898	61.2
38	Fairfield	33	2021	61.2
39	Michigan	33	2025	61.4
40	Notre Dame	33	2028	61.5
41	Wright St.	32	1967	61.5
42	Texas A&M	32	1968	61.5
43	UAB	31	1907	61.5
44	Middle Tenn.	31	1908	61.5
45	Old Dominion	33	2033	61.6
46	Tulane	31	1910	61.6
47	Montana	31	1912	61.7
48	American	31	1913	61.7
49	UNI	32	1976	61.8
50	California	33	2039	61.8
51	Southeastern La.	29	1795	61.9
52	Milwaukee	33	2043	61.9
53	Kansas	33	2044	61.9
54	Air Force	29	1798	62.0
55	Columbia	30	1863	62.1
56	Virginia Tech	33	2057	62.3
57	St. Mary's (CA)	32	1996	62.4
58	Ohio	34	2122	62.4
59	Wichita St.	32	1998	62.4
60	Colorado	34	2125	62.5
61	UCLA	33	2063	62.5
62	Georgia Tech	31	1940	62.6
63	Arizona	34	2131	62.7
